batch index,sentence NUCLE ID,original_text,is perfect,original_language
1,130349,Experts use graphite and pottery material to make the main structure for VHTR.,True,english
1,50004,Most Singaporean are expected to accumulate sufficient amount for retirement with the help of this system.,True,english
1,81916,"Cars drain our Earth's natural resources, thus inciting political skirmishes over oil, and overwhelming the roads of today's cities.",True,english
1,86954,"The other one is discovered by serenity, and an example of it is the discovery of Warfarin, the effective rat killer.",True,english
1,132521,"Indeed, nuclear energy should be funded for further research and development.",True,english
1,149056,Potential harm to uninformed family relatives has to be considered although the disclosure may not be smooth due to lack of understanding by relatives.,True,english
1,99465,"However, when we are old and forgetful, we are more likely to accept memory loss as part of aging.",True,english
1,129987,"Out of all gen IV reactors, only the supercritical water cooled reactor (SWCR) can fulfill these requirements, thus it should receive funding for research.",True,english
1,119072,"In addition, it is important to note that VHTR is a much safer reactor also because the radioactive content of the fuel is contained even if the reactor reaches temperatures in excess of 500 Â° C more than the normal operating temperature (Norman, 2007).",True,english
1,205,"When uranium fission was discovered in 1938, it sparked widespread scientific interest due to the massive amount of energy released by the reaction.",True,english
1,17901,"On the contrary, this is a minor issue as only those with access to hospital's database can interpret the information.",True,english
1,61954,"Hence, for a better future, public spending on the aged should be limited.",True,english
1,30318,"As a result, they might end up having more illnesses that can cause health to deteriorate.",True,english
1,90944,"If public spending on the aged is limited, it would help to reduce the amount of tax people have to pay to support these elderly in the society.",True,english
1,4419,"Another difference is that serendipity is sometimes caused by additional observations of one research, while there is no further discovery as a "" bonus "" in a conventional research.",True,english
2,94572,It can ease the aging problem without giving burden on the government and poor people.,True,english
2,41165,"As a result of economic growth, the government will be more able to pay for the retired elderly.",True,english
2,75666,"However in our real life there engineering process is not hundred percent perfect, during the design process there are minor and major problems.",True,english
2,59703,"Therefore, the'extra money' that the elderly possess at the expense of the government may not result in the most efficient allocation of resources.",True,english
2,129696,"However, recent studies about materials show a lot of success in finding out a lot of materials that satisfy these requirements.",True,english
2,13207,"This discrimination would be very unfair to the individuals involved (Norrgard, 2008).",True,english
2,40083,"On the contrary, if issues related to the aging population are not dealt with appropriately, the social impact on a nation's development may be hindered.",True,english
2,9200,"Therefore, perseverance is a crucial factor to the discovery of serendipitous and research-based technologies.",True,english
2,112273,"Compressed natural gas.Retrieved Octobor, 2009, from The Very-High-Temperature Reactor (VHTR) : https : //inlportal.inl.gov/portal/server.pt ? open = 514&objID = 2251&parentname = Co mmunityPage&parentid = 13&mode = 2",True,english
2,36657,"With more companies manufacturing such wheelchairs, the cost of a wheelchair has declined sharply, thus making it more affordable.",True,english
2,150463,"Also people might argue that for disorders in genes that are preventable or treatable, it will be good for individuals to have access to their genetic info.",True,english
2,139141,"More recently, environmental concerns and rising energy demands are putting nuclear power back into the energy equation.",True,english
2,16348,"Besides, GPS is also widely used to monitor the action of the terrorists.",True,english
2,148535,"Opponents of this position argue that the family members may hastily undergo a genetic test on receiving the negative news without careful consideration of the possible discrimination that they may face after the genetic test (Agatha M et al., 2009).",True,english
2,98112,Strength training can ease aging's effects on women.,True,english
3,95039,"However, unlimited public spending on the aged could encourage the elderly to be less self-sufficient or more dependent.",True,english
3,114606,The fact that it is also able to produce both electricity and hydrogen makes it all the more practical.,True,english
3,139923,"First it has advanced safe design, which can automatically cool itself down when accident without additional operating system.",True,english
3,137306,"According to World Nuclear Association (WNA), the current energy mainly comes from oil and gas.",True,english
3,100196,"If the government continues to splurge a lot in funding the aged, the country's capital would ultimately become unbalanced and would be insufficient to spend on the other areas, for instance, education.",True,english
3,140065,"In conclusion, I do not deny the fact that the use of psychology to improve engineering ethics and refine the thought process involved in the design stage helps in reducing the occurrence of accidents.",True,english
3,113689,The water channels run through the core vertically where a temperature gradient will be built up.,True,english
3,31647,"In conclusion, in Singapore, limiting public spending to divert money to other areas of the country's development is a feasible option to address the long term aging population issue.",True,english
3,41111,"To aid in this situation, the elderly should be influenced to be more financially responsible, and public spending on the aged should be limited so that money can be diverted to other areas of the country's development.",True,english
3,47265,"Lastly, it is a moral right and a civic responsibility for us to take care of the elderly.",True,english
3,94924,Many countries like US have set aside a large sum of money to ensure the welfare of elderly people annually.,True,english
3,46576,They will be the ones that will bring the nation to a greater height.,True,english
3,54858,"With prior knowledge, people will be mentally prepared for the aging process.",True,english
3,102550,Three Mile Island and Chernobyl : What went wrong and why today's reactors are safe.,True,english
3,165,"Hence the RTI system is very inexpensively and can be commonly used (Retinal Technologies, Inc. Launches Company and Revolutionizes Biometrics With Patented Retinal Scanning Technology, 2001).",True,english
4,143029,"Although there are numerous public concerns on the safety of nuclear reactors, VHTR's promising potentials and benefits in the aspect of security, cost and performance far outweighs the concerns.",True,english
4,71856,"Radio allows the transmission of data over a distance literally through the air, which is not possible by the conventional cable lines.",True,english
4,120352,"In addition, hydrogen is not the only by product, heat and electricity will also be generated during the nuclear processing.",True,english
4,73823,Certain types of food such as rice and fruits can be genetically modified to grow faster and increase food yield.,True,english
4,24315,"In this rat-raced world, everything seems to be progressing rapidly, leading to a higher standard of living.",True,english
4,75272,"And because of no good treatment, many talents go abroad to carry on their study and work.",True,english
4,81569,The engineering design process will be able to meet the need to form a new traffic system.,True,english
4,109717,"For example, the reactor uses independent, redundant and diversified Decay Heat Removal (DHR) loops to control damages and prevent potential radioactive releases (World Nuclear Association, 2008).",True,english
4,48522,"Therefore, in the long term, it could hurt the service industry's economies and so, this policy contradicts the main objective of having a strong labor economy.",True,english
4,101760,The Pros and Cons of Nuclear Power as an Alternative Energy Source.,True,english
4,33505,"With the increase of local businesses involving the aged population, there would naturally be new products and services in leisure, retail, asset management, insurance and even healthcare catered to the needs of the elderly.",True,english
4,125829,"Although some engineers and operators still oppose the use of psychology, for human safety, it is worthwhile to include psychology in an engineering design process.",True,english
4,64954,It was called the murphy bed and was invented by William L. Murphy to solve space constraints that he faced while living in a small apatment.,True,english
4,66777,Chief engineers who have been in the field for a period of time would be valuable resources.,True,english
4,149114,Consent and Confidentiality in Genetic Practice : Guidance on Genetic Testing and Sharing Genetic Information.,True,english
5,46783,"Without education and good infrastructures, the citizens will not be able to improve and maintain their standard of living.",True,english
5,108467,"If this fails, it could lead to a catastrophic release of radioactivity.",True,english
5,76225,"These two problems are interlinked, and they hamper the above five Engineering Design Process in many ways.",True,english
5,15861,This thorough understanding of consumers has certainly gone overboard.,True,english
5,90763,I strongly agree that public spending on the aged should be limited.,True,english
5,76994,"Even if consumers do not go for pirated products, they will still go for second hand products.",True,english
5,324,Prototyping involves constructing the prototype and testing it under real conditions.,True,english
5,28967,""" That's why fitness facilities, children's playground and elderly exercise equipment are put together "" quoted Mr Mah BT (2008) in a housing speech.",True,english
5,51164,Other inventions such as slip proof tiles and solvents can effectively cut down the possibility of falls due to slippery surfaces.,True,english
5,139332,"Nowadays, with the threat of green house effect and the increasing need for energy, people are urgently looking for new energy resources.",True,english
5,18846,A person's movements can be tracked if the RFID tag is associated with a person.,True,english
5,30165,The Singapore government acknowledged this requirement by introducing the studio apartments and the HDB lift-upgrading projects.,True,english
5,63999,Six main stages in the innovation-decision process References,True,english
5,6734,"Therefore, no matter whether the creation is based on research or luck, as long as it benefits us in one way or the other, it is a great invention.",True,english
5,125937,"The graphitic core structure, helium coolant, and coated fuel particles allow the VHTR to withstand accident temperatures without structural damage or fission product release.",True,english
